ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor,number_of_matches
5.7696733959873,1.1802334005098,20.10993,17.57661,16.25697,15.59535,15.27165,1237657192518320400,1261162695361587200,STAR,M0,sdss,1120,52589,563,11.6442404034267,-0.799108049809175,20.07677,17.36707,16.09038,15.46775,15.114,1237663783128727800,1271218554703734800,STAR,K7,sdss,1129,52641,282,0.873049768374291,353
55.7671199959384,10.056040652136,18.64056,17.4279,16.89982,16.68423,16.55677,1237673328149201e3,30163692117201e5,STAR,F5,segue1,2679,54368,303,225.965371416204,16.8744594913409,19.36031,18.38233,18.04053,17.91413,17.89431,1237667734525903e3,6174580325978448e3,STAR,F3/F5V (30743),boss,5484,56039,528,0.9668168844048042,79250
145.864363958962,39.1989686411257,17.65789,16.59639,16.25019,16.11542,16.09627,1237660963479814100,3630063284100636700,STAR,F5,segue2,3224,54849,589,137.920362413026,0.931570875715346,20.02337,19.07885,18.73978,18.61431,18.55195,1237673708794806500,4303311582757101600,STAR,F3/F5V (30743),boss,3822,55544,444,0.9664123582120798,80122
171.950117601266,14.530939170156,18.17015,17.25141,16.91949,16.80491,16.79142,1237664131559587800,604633109008742e4,STAR,F3/F5V (30743),boss,5370,56003,904,173.723434004979,67.9565827916881,18.74947,17.79675,17.48047,17.37746,17.32588,1237651539784171500,3217981163528284e3,STAR,F5,segue1,2858,54498,579,0.9811311855495046,93831
330.208733748307,-9.32139792627354,18.33616,17.08498,17.18154,17.19266,17.18329,1237666209274593500,807340918234441700,STAR,A0,sdss,717,52468,257,129.40054176363,7.85200987436264,17.4635,17.27586,17.6134,17.86252,18.16614,1237661066018095400,5950488309805326e3,STAR,WDhotter,boss,5285,55946,390,0.9834976963105112,6793
106.240790431416,28.8660170095281,19.17621,17.78509,17.20121,16.94372,16.81423,1237673755502969300,3609659371996422e3,STAR,F9,segue2,3206,54852,88,164.378561776669,29.0006589987894,20.30421,19.39741,19.08182,18.97433,19.00534,1237667212132155600,3673977779151544300,STAR,F5,segue2,3263,54887,605,0.8832490637708935,92603
126.727620514364,40.7524782181058,19.18439,17.9078,17.40789,17.21121,17.13719,1237657609110225e3,3550108996562166e3,STAR,F9,segue2,3153,54790,533,125.554756350003,20.9230865251304,18.4978,17.37862,17.02073,16.92406,16.76613,1237664835925508400,2169649583255218200,STAR,F5,sdss,1927,53321,147,0.972796244506917,80284
182.541050325115,21.0081674392674,17.13906,16.02621,15.60769,15.46447,15.41973,1237668299276812300,3257384087760955400,STAR,G2,segue1,2893,54552,566,130.817045259929,59.6984315401975,19.99372,19.06437,18.73319,18.59968,18.56456,1237663531873141e3,6427879776397009e3,STAR,A2II (39866),boss,5709,56571,426,0.969611855028756,75873
83.6687986686854,63.0124452115161,20.3235,18.60886,17.86053,17.5704,17.41391,1237666464796509200,2589715257924544500,STAR,K1,segue1,2300,53682,529,336.404524686469,40.1618899629783,17.16445,16.01684,15.56236,15.36802,15.2617,1237672027319828700,2950015609615706e3,STAR,F5,segue1,2620,54397,574,0.4547097115490583,44555
334.413543747183,69.3385895137332,20.0008,17.474,16.19065,15.58147,15.15851,1237663273097954300,2856560961492379600,STAR,K3,segue1,2537,53917,556,358.4088905444,14.2228226802956,19.63927,17.0878,15.98011,15.59111,15.37687,1237656241171399e3,3525214403052019700,STAR,K5,segue2,3131,54731,79,0.6170038321125367,2414
